idx,smiles,atoms,regressionLogistique
0,ClC1=CC(Cl)=CC(C(O)=O)=C1,15,0.9807473024187662
1,ClC1=C(/C=C(C(OCC)=O)\C)C(Cl)=CC(C(O)=O)=C1,15,0.9988802519455746
0,O=C1CC[C@]2(C)[C@]3(O)[C@@]([C@]4([H])CCC([C@]4(CC3)C)=O)([H])CCC2=C1,15,0.04155219019129122
1,O=C1CC[C@]2(C)[C@]3(O)[C@@]([C@]4([H])CCC([C@]4(CC3)C)=O)([H])CC[C@@]([H])2C1,15,0.0011471445144397574
2,O=C(C[C@@](CC[C@@]1([H])[C@]2([H])CC3)4[H])CC[C@]4(C)C1=CC[C@]2(C)C3=O,15,0.0007433060165457622
3,O[C@@H](C[C@@](CC[C@@]1([H])[C@]2([H])CC3)4[H])CC[C@]4(C)C1=CC[C@]2(C)C3=O,15,0.00202277974603134
4,O[C@@H](C[C@@](CC[C@@]1([H])[C@]2([H])CC/3)4[H])CC[C@]4(C)C1=CC[C@]2(C)C3=C/C,15,0.00020108805415417386
5,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC/4)C[C@H](OC(C)=O)CC[C@]1(C)C2=CC[C@]3(C)C4=C/C,15,0.002670199425760641
6,[H][C@@]12C[C@H](OC(C)=O)CC[C@]1(C)C3=CC[C@]4(C)C([C@H](C)CCC(OC)=O)=CC[C@@]4([H])[C@]3([H])CC2,15,0.03740683758687651
7,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC4)C[C@H](OC(C)=O)CC[C@]1(C)C2=CC[C@]3(C)[C@@]4([H])[C@H](C)CCC(OC)=O,15,0.3846382372518186
8,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]([C@]34C)([H])[C@H](C)CCC(OC)=O)C[C@H](OC(C)=O)CC[C@]1(C)C2=CC4=O,15,0.15600388576493499
9,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]([C@]34C)([H])[C@H](C)CCC(OC)=O)C[C@H](OC(C)=O)CC[C@]1(C)[C@@]2([H])CC4=O,15,0.48959753852693894
10,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC4)C[C@H](OC(C)=O)CC[C@]1(C)[C@@]2([H])C[C@H](O)[C@]3(C)[C@@]4([H])[C@H](C)CCC(OC)=O,15,0.23501677509005794
11,O[C@@H](C[C@@](CC[C@@]1([H])[C@]2([H])CC3)4[H])CC[C@]4(C)[C@@]1([H])C[C@H](O)[C@]2(C)[C@@]3([H])[C@H](C)CCC(O)=O,15,0.001408684068802258
0,OC[C@H](C(OC)=O)NC(OCC1=CC=CC=C1)=O,15,0.9996286434806039
1,O=C(OC)[C@@H](COC(C)(C)C)NC(OCC1=CC=CC=C1)=O,15,0.9995190226030813
2,N[C@@H](C(OC)=O)COC(C)(C)C,15,0.9444599566484173
3,O=C(NCCN[C@@H](C(OC)=O)COC(C)(C)C)OCC1=CC=CC=C1,15,0.9957384401072523
4,CC(C)(C)OC[C@@H](NCCN1)C1=O,15,0.658395509234865
5,CC1=CC=C(C(O[C@@H](C(O)=O)[C@H](C(O)=O)OC(C2=CC=C(C)C=C2)=O)=O)C=C1.CC(C)(C)OC[C@@H](NCCN3)C3=O,15,0.9542778432229216
0,FC1=C(F)C=C(CC(O)=O)C(F)=C1,15,0.7964962490353723
1,FC1=C(F)C=C(CC(C(C(OC(C)(C)O2)=O)C2=O)=O)C(F)=C1,15,0.3092913334473948
2,FC1=C(F)C=C(CC(N)CC(OCC)=O)C(F)=C1,15,0.9438578262320015
3,FC1=C(F)C=C(C[C@@H](N)CC(OCC)=O)C(F)=C1,15,0.9438578262320015
4,FC1=C(F)C=C(C[C@@H](NC(OC(C)(C)C)=O)CC(O)=O)C(F)=C1,15,0.7676599660733066
0,FC1=C(F)C=C(C[C@@H](NC(OC(C)(C)C)=O)CC(O)=O)C(F)=C1,15,0.7676599660733066
1,FC1=C(F)C=C(C[C@@H](NC(OCC2=CC=CC=C2)=O)CC(N3CCNC([C@H]3COC(C)(C)C)=O)=O)C(F)=C1,15,0.6578796534242207
2,FC1=C(F)C=C(C[C@@H](N)CC(N2CCNC([C@H]2COC(C)(C)C)=O)=O)C(F)=C1,15,0.08754646452289129
0,BrC1=CC=CC2=CC=CC=C21,15,0.9952261822205293
1,C12=CC=CC=C1C(C3CC3)=CC=C2,15,0.9040498260262587
2,O=[N+](C1=CC=C(C2CC2)C3=CC=CC=C31)[O-],15,0.6805054955124412
3,NC1=CC=C(C2CC2)C3=CC=CC=C31,15,0.7726129762624282
4,S=C=NC1=CC=C(C2CC2)C3=CC=CC=C31,15,0.186925244619407
5,SC1=NN=CN1C2=CC=C(C3CC3)C4=CC=CC=C42,15,0.05561523289899238
6,O=C(OC)CSC1=NN=CN1C2=CC=C(C3CC3)C4=CC=CC=C42,15,0.9669793378487698
7,BrC1=NN=C(SCC(OC)=O)N1C2=CC=C(C3CC3)C4=CC=CC=C42,15,0.9892142634874687
8,BrC1=NN=C(SCC(O)=O)N1C2=CC=C(C3CC3)C4=CC=CC=C42,15,0.9794149414262263
0,O=C1CN(C(OC(C)(C)C)=O)CC1,15,0.9053904807279254
1,O=C1CN(C(OC(C)(C)C)=O)C/C1=C\N(C)C,15,0.8263328967321723
2,OC12NN=CC1CN(C(OC(C)(C)C)=O)C2,15,0.2490903392605748
3,CC(OC(N(C1)CC2=C1C=NN2)=O)(C)C,15,0.9757011438545348
4,CS(N1C=C2C(CN(C(OC(C)(C)C)=O)C2)=N1)(=O)=O,15,0.9669818158222615
0,O=C(/N=C(C1=CC=CC=C1)/C2=CC=CC=C2)OCC,15,0.9986049141346962
1,O=C(N(C)OC)[C@@H](NC(OC(C)(C)C)=O)CC#C,15,0.9869529343857034
